segment_id,s_node_id,e_node_id,period,actual_velocity,time,LOS,congestion_factor,risk_factor
185,5769406267,366410141,period_0_30,11.612903225806452,0.024286491965088336,B,0.1259157509157509,5.0
206,2233730987,5772608664,period_5_00,11.612903225806452,0.03747058760327914,B,0.1259157509157509,5.0
207,366422378,5802629829,period_4_30,11.612903225806452,0.03400108875112367,B,0.1259157509157509,1.8535958904109586
207,366422378,5802629829,period_6_00,11.612903225806452,0.03400108875112367,B,0.1259157509157509,1.8535958904109586
207,366422378,5802629829,period_1_00,5.278592375366569,0.07480239525247208,E,0.5517399267399268,1.8535958904109586
207,366422378,5802629829,period_4_30,5.278592375366569,0.07480239525247208,E,0.5517399267399268,1.8535958904109586
207,366422378,5802629829,period_0_30,0.7880910683012259,0.5010224948875256,F,5.0,1.8535958904109586
207,366422378,5802629829,period_0_00,8.955223880597016,0.044091734445005526,C,0.23122710622710618,1.8535958904109586
207,366422378,5802629829,period_3_00,0.7880910683012259,0.5010224948875256,F,5.0,1.8535958904109586
207,366422378,5802629829,period_1_00,8.955223880597016,0.044091734445005526,C,0.23122710622710618,1.8535958904109586
207,366422378,5802629829,period_3_30,0.7880910683012259,0.5010224948875256,F,5.0,1.8535958904109586
207,366422378,5802629829,period_11_30,7.142857142857143,0.055279189453439764,D,0.34798534798534797,1.8535958904109586
207,366422378,5802629829,period_12_00,0.7880910683012259,0.5010224948875256,F,5.0,1.8535958904109586
207,366422378,5802629829,period_7_00,0.7880910683012259,0.5010224948875256,F,5.0,1.8535958904109586
207,366422378,5802629829,period_5_30,7.142857142857143,0.055279189453439764,D,0.34798534798534797,1.8535958904109586
207,366422378,5802629829,period_0_30,8.955223880597016,0.044091734445005526,C,0.23122710622710618,1.8535958904109586
207,366422378,5802629829,period_14_00,7.142857142857143,0.055279189453439764,D,0.34798534798534797,1.8535958904109586
207,366422378,5802629829,period_1_00,5.278592375366569,0.07480239525247208,E,0.5517399267399268,1.8535958904109586
207,366422378,5802629829,period_5_00,8.955223880597016,0.044091734445005526,C,0.23122710622710618,1.8535958904109586
299,1779408275,2027431006,period_1_00,0.7880910683012259,0.15337423312883436,F,5.0,5.0
309,1780010853,366422916,period_12_00,8.955223880597016,0.08548397494439848,C,0.23122710622710618,5.0
424,5151366713,5716917501,period_14_30,18.0,0.006267481797442151,A,0.0,5.0
424,5151366713,5716917501,period_7_00,18.0,0.006267481797442151,A,0.0,5.0
424,5151366713,5716917501,period_12_30,18.0,0.006267481797442151,A,0.0,5.0
428,1706528933,1672907094,period_23_30,18.0,0.03984327714088225,A,0.0,5.0
428,1706528933,1672907094,period_10_30,18.0,0.03984327714088225,A,0.0,5.0
428,1706528933,1672907094,period_11_00,18.0,0.03984327714088225,A,0.0,5.0
428,1706528933,1672907094,period_11_30,18.0,0.03984327714088225,A,0.0,5.0
428,1706528933,1672907094,period_12_00,18.0,0.03984327714088225,A,0.0,5.0
428,1706528933,1672907094,period_12_30,18.0,0.03984327714088225,A,0.0,5.0
428,1706528933,1672907094,period_8_30,18.0,0.03984327714088225,A,0.0,5.0
428,1706528933,1672907094,period_9_00,18.0,0.03984327714088225,A,0.0,5.0
428,1706528933,1672907094,period_9_30,18.0,0.03984327714088225,A,0.0,5.0
430,366448695,1706528933,period_10_00,18.0,0.017459413578588847,A,0.0,5.0
430,366448695,1706528933,period_7_30,18.0,0.017459413578588847,A,0.0,5.0
432,4979973980,366449673,period_23_30,5.278592375366569,0.0641163387878332,E,0.5517399267399268,5.0
432,4979973980,366449673,period_0_00,8.955223880597016,0.03779291523857616,C,0.23122710622710618,5.0
433,4979973980,4589132514,period_23_30,5.278592375366569,0.07632897474742048,E,0.5517399267399268,5.0
433,4979973980,4589132514,period_0_00,8.955223880597016,0.044991565760209726,C,0.23122710622710618,5.0
434,4589132514,4979973980,period_23_30,8.955223880597016,0.044991565760209726,C,0.23122710622710618,5.0
434,4589132514,4979973980,period_0_00,7.142857142857143,0.05640733617697936,D,0.34798534798534797,5.0
435,4589132514,366433158,period_23_30,8.955223880597016,0.08008498705317331,C,0.23122710622710618,5.0
435,4589132514,366433158,period_0_00,7.142857142857143,0.10040505839502326,D,0.34798534798534797,5.0
436,366433158,4589132514,period_23_30,0.7880910683012259,0.9100204498977505,F,5.0,5.0
436,366433158,4589132514,period_0_00,8.955223880597016,0.08008498705317331,C,0.23122710622710618,5.0
437,366433158,5816931407,period_23_30,0.7880910683012259,0.7055214723926381,F,5.0,5.0
437,366433158,5816931407,period_0_00,7.142857142857143,0.07784212392423151,D,0.34798534798534797,5.0
438,5816931407,366433158,period_23_30,8.955223880597016,0.06208836074908942,C,0.23122710622710618,5.0
438,5816931407,366433158,period_0_00,5.278592375366569,0.10533398515144027,E,0.5517399267399268,5.0
439,5816931407,4589132512,period_23_30,8.955223880597016,0.0656876860099062,C,0.23122710622710618,5.0
439,5816931407,4589132512,period_0_00,8.955223880597016,0.0656876860099062,C,0.23122710622710618,5.0
440,4589132512,5816931407,period_23_30,5.278592375366569,0.1114403031312339,E,0.5517399267399268,5.0
440,4589132512,5816931407,period_0_00,5.278592375366569,0.1114403031312339,E,0.5517399267399268,5.0
441,5797643308,5797643307,period_23_30,8.955223880597016,0.03059426471694261,C,0.23122710622710618,5.0
441,5797643308,5797643307,period_0_00,7.142857142857143,0.03835698860034596,D,0.34798534798534797,5.0
566,3178335371,2495745975,period_14_00,18.0,0.01074425450990083,A,0.0,5.0
679,4950034787,4950034788,period_15_00,11.612903225806452,0.017347494260777384,B,0.1259157509157509,5.0
679,4950034787,4950034788,period_14_00,11.612903225806452,0.017347494260777384,B,0.1259157509157509,5.0
679,4950034787,4950034788,period_15_00,11.612903225806452,0.017347494260777384,B,0.1259157509157509,5.0
680,4950034787,5764899744,period_14_30,11.612903225806452,0.062450979338798576,B,0.1259157509157509,5.0
985,3191421708,1497312726,period_1_30,18.0,0.017907090849834717,A,0.0,1.8535958904109586
996,1497312738,1497312743,period_11_00,18.0,0.018802445392326454,A,0.0,1.8535958904109586
1002,5735415569,5735415570,period_11_00,8.955223880597016,0.01439730104326711,C,0.23122710622710618,1.8535958904109586
1044,3382829560,3382829566,period_11_00,5.278592375366569,0.19387559585844802,E,0.5517399267399268,5.0
1046,5737827281,3382829560,period_11_00,0.7880910683012259,1.0429447852760738,F,5.0,5.0
1048,3382829581,5737827281,period_11_00,5.278592375366569,0.15418452898978938,E,0.5517399267399268,5.0
1050,5740194878,3382829581,period_11_00,0.7880910683012259,0.14314928425357876,F,5.0,5.0
1054,3382829584,5740194880,period_11_00,0.7880910683012259,0.5930470347648262,F,5.0,5.0
1054,3382829584,5740194880,period_1_00,5.278592375366569,0.08854161070700776,E,0.5517399267399268,5.0
1059,366400431,5025883618,period_1_00,5.278592375366569,0.07632897474742048,E,0.5517399267399268,5.0
1341,366390663,2445304739,period_0_30,11.612903225806452,0.07910457382914486,B,0.1259157509157509,5.0
1341,366390663,2445304739,period_0_30,11.612903225806452,0.07910457382914486,B,0.1259157509157509,5.0
