_id,segment_id,date,weekday,period,LOS,s_node_id,e_node_id,length,street_id,max_velocity,street_level,street_name,street_type,long_snode,lat_snode,long_enode,lat_enode,cost
134,1551,2020-12-18,4,period_1_30,B,366461102,366410160,21,32577095,,4,Trần Não,tertiary,106.7295323,10.800603,106.7293575,10.8005193,10.70075
135,1551,2021-04-15,3,period_1_30,A,366461102,366410160,21,32577095,,4,Trần Não,tertiary,106.7295323,10.800603,106.7293575,10.8005193,22.4012
136,1551,2021-04-19,0,period_1_30,A,366461102,366410160,21,32577095,,4,Trần Não,tertiary,106.7295323,10.800603,106.7293575,10.8005193,22.4012
137,1551,2021-04-22,3,period_1_30,E,366461102,366410160,21,32577095,,4,Trần Não,tertiary,106.7295323,10.800603,106.7293575,10.8005193,3.50015
138,1552,2021-04-15,3,period_1_30,F,366410160,366442996,16,32577095,,4,Phường Thảo Điền,tertiary,106.7293575,10.8005193,106.7292655,10.8003967,3.500114285714286
139,1553,2021-04-22,3,period_1_30,E,366442996,366441338,27,32577095,,4,Trần Não,tertiary,106.7292655,10.8003967,106.7292475,10.8001505,3.5001928571428573
140,1554,2020-12-18,4,period_1_30,C,366441338,5735415579,30,32577095,,4,Trần Não,tertiary,106.7292475,10.8001505,106.7292928,10.7998829,5.9006428571428575
141,1554,2021-04-15,3,period_1_30,C,366441338,5735415579,30,32577095,,4,Trần Não,tertiary,106.7292475,10.8001505,106.7292928,10.7998829,5.9006428571428575
142,1555,2021-04-22,3,period_1_30,A,5735415579,378299077,4,32577095,,4,Trần Não,tertiary,106.7292928,10.7998829,106.7293008,10.7998391,22.40022857142857
143,1558,2020-11-16,0,period_14_00,B,5719731384,3758592298,5,32577116,,4,Thích Quảng Đức,tertiary,106.6785195,10.8082313,106.6785674,10.8082363,10.700178571428571
144,1558,2020-11-18,2,period_12_00,D,5719731384,3758592298,5,32577116,,4,Thích Quảng Đức,tertiary,106.6785195,10.8082313,106.6785674,10.8082363,4.400071428571429
145,1558,2020-11-19,3,period_11_30,D,5719731384,3758592298,5,32577116,,4,Thích Quảng Đức,tertiary,106.6785195,10.8082313,106.6785674,10.8082363,4.400071428571429
146,1558,2020-11-20,4,period_12_00,E,5719731384,3758592298,5,32577116,,4,Thích Quảng Đức,tertiary,106.6785195,10.8082313,106.6785674,10.8082363,3.5000357142857146
147,1558,2020-11-28,5,period_14_00,C,5719731384,3758592298,5,32577116,,4,Thích Quảng Đức,tertiary,106.6785195,10.8082313,106.6785674,10.8082363,5.900107142857143
148,1558,2020-12-01,1,period_12_00,C,5719731384,3758592298,5,32577116,,4,Thích Quảng Đức,tertiary,106.6785195,10.8082313,106.6785674,10.8082363,5.900107142857143
149,1558,2020-12-15,1,period_11_30,C,5719731384,3758592298,5,32577116,,4,Thích Quảng Đức,tertiary,106.6785195,10.8082313,106.6785674,10.8082363,5.900107142857143
150,1558,2020-12-21,0,period_15_00,B,5719731384,3758592298,5,32577116,,4,Thích Quảng Đức,tertiary,106.6785195,10.8082313,106.6785674,10.8082363,10.700178571428571
151,1558,2020-12-21,0,period_15_30,B,5719731384,3758592298,5,32577116,,4,Thích Quảng Đức,tertiary,106.6785195,10.8082313,106.6785674,10.8082363,10.700178571428571
