_id,long,lat
366371202,106.5974724,10.6968301
366371205,106.8331906,10.8156756
366371211,106.6260326,10.7126904
366371247,106.6747245,10.8260844
366371257,106.7706103,10.8777662
366371267,106.7108299,10.8118706
366371269,106.6452335,10.764512
366371306,106.6748063,10.7492555
366371310,106.7436358,10.7300246
366371330,106.6874864,10.7951511
366371332,106.5900708,10.8232864
366371344,106.7006411,10.8759352
366371360,106.7502631,10.6847761
366371371,106.744545,10.8728895
366371375,106.6525082,10.7689285
366371377,106.6473358,10.7921286
366371400,106.8586709,10.8033039
366371417,106.8636293,10.8093137
366371445,106.605845,10.8760574
366371473,106.6857452,10.7972798
366371505,106.7621918,10.8672782
366371509,106.81023,10.865797
366371516,106.746388,10.8759972
366371522,106.6390178,10.7634092
366371524,106.6346835,10.7872262
366371536,106.6718241,10.8101171
366371563,106.6444544,10.7612154
366371569,106.7133715,10.8584788
366371571,106.7423288,10.8790379
366371573,106.7033887,10.6922875
366371600,106.5665873,10.8806227
366371606,106.600228,10.8394224
366371610,106.7978296,10.8087341
366371612,106.625551,10.8066158
366371614,106.6555149,10.771055
366371627,106.7445665,10.8642407
366371631,106.5759001,10.8205568
366371637,106.6589989,10.7495277
366371639,106.6597433,10.7618544
366371643,106.765025,10.8867209
366371645,106.602496,10.871314
366371648,106.6446265,10.7611505
366371650,106.6757437,10.758139
366371660,106.8061229,10.8516954
366371661,106.7308645,10.7617442
366371665,106.7558813,10.8701131
366371676,106.6045443,10.7884045
366371677,106.5927493,10.746564
366371683,106.5490095,10.7655341
366371689,106.8554768,10.8226289
366371691,106.5415473,10.7398068
366371693,106.6000782,10.8499403
366371707,106.6617229,10.7720145
366371712,106.6284452,10.7125445
366371716,106.6341705,10.8147121
366371718,106.7632042,10.8691813
366371730,106.6587104,10.8518001
366371738,106.7412047,10.760631
366371745,106.6722981,10.7627251
366371760,106.6222423,10.7900315
366371762,106.6526094,10.7637745
366371763,106.7651975,10.8619567
366371765,106.6439691,10.8641777
366371766,106.7975705,10.8700784
366371768,106.7672408,10.8479838
366371779,106.7834541,10.7662571
366371783,106.6088617,10.872504
366371785,106.6271769,10.743135
366371787,106.7255801,10.8131084
366371791,106.6979393,10.7282205
366371793,106.7970195,10.8146549
366371794,106.6376987,10.7258878
366371795,106.6549459,10.7799415
366371802,106.6066102,10.8377862
366371805,106.6274935,10.8146292
366371809,106.616721,10.7960263
366371813,106.720127,10.738149
366371817,106.6987417,10.8844729
366371818,106.8103387,10.8579027
366371827,106.5407841,10.7383141
366371839,106.6481683,10.7708996
366371842,106.744988,10.8298547
366371857,106.6822359,10.8142402
366371866,106.6524203,10.7769717
366371878,106.8641938,10.8093036
366371882,106.8664359,10.823802
366371894,106.7370966,10.8041878
366371897,106.6824305,10.7937131
366371900,106.6669021,10.8253135
366371920,106.7048425,10.811203
366371936,106.6408272,10.7902184
366371944,106.8121901,10.8670305
366371947,106.7902219,10.8599774
366371967,106.7770021,10.8216896
366371975,106.6917263,10.8086903
366371983,106.5888394,10.8863061
366371988,106.7416996,10.8303943
366372072,106.6516558,10.7784283
366372078,106.8064381,10.853627
366372085,106.5489506,10.7654273
366372095,106.6549723,10.8062121
366372097,106.8423853,10.847838
366372100,106.6003574,10.8464996
366372109,106.6613755,10.7833862
366372116,106.7080833,10.7923995
366372118,106.6742065,10.7431712
366372123,106.7380185,10.8559127
366372133,106.7380154,10.7455798
366372137,106.8214934,10.8869879
366372146,106.6164927,10.8645089
366372149,106.8312172,10.8800219
366372153,106.7087421,10.7438978
366372181,106.7431554,10.8802761
366372185,106.6492257,10.7511452
366372192,106.825625,10.8070925
366372201,106.5887362,10.8816272
366372243,106.6406226,10.8382575
366372248,106.5963195,10.7676845
366372249,106.6718651,10.8253685
366372250,106.6186286,10.8703143
366372252,106.6247413,10.8668761
366372254,106.8395554,10.8429194
366372255,106.6544719,10.7901401
366372262,106.6421153,10.756673
366372281,106.6586939,10.7471693
366372283,106.6556852,10.7507611
366372284,106.7458802,10.68929
366372311,106.5865317,10.7568369
366372315,106.7685406,10.878044
366372316,106.7638858,10.7869451
366372322,106.7660334,10.8565003
366372327,106.6376063,10.8401158
366372332,106.6238545,10.7131467
366372336,106.768582,10.8288555
366372346,106.6555047,10.8372113
366372347,106.7776459,10.8799771
366372348,106.7828595,10.7650406
366372358,106.6508608,10.7322927
366372360,106.6563495,10.7992953
366372367,106.7920418,10.8458219
366372371,106.7174357,10.6930361
366372379,106.7779905,10.8085935
366372384,106.7750639,10.8700479
366372393,106.7458478,10.8055507
366372400,106.6414928,10.7915105
366372405,106.6940276,10.7516447
366372422,106.8163113,10.8077746
366372445,106.6364683,10.6840547
366372447,106.8012516,10.8440022
366372448,106.6717837,10.7666755
366372450,106.6279666,10.7496192
366372456,106.7209603,10.7999133
366372463,106.7441396,10.8764499
366372469,106.7254587,10.8119038
366372474,106.839954,10.818823
366372479,106.7120102,10.809094
366372490,106.5599384,10.838153
366372495,106.5969845,10.8797098
366372496,106.7812343,10.8801086
366372498,106.6429922,10.8638312
366372500,106.6558902,10.7640087
366372510,106.6424621,10.834045
366372517,106.646205,10.7568158
366372518,106.5890459,10.8641018
366372531,106.6741418,10.8091082
366372535,106.6003292,10.8512602
366372553,106.6073549,10.8813287
366372562,106.7110608,10.7630438
366372563,106.7478702,10.8510037
366372569,106.847823,10.8450092
366372581,106.6343618,10.7753701
366372608,106.7342918,10.6763455
366372609,106.6071191,10.7763394
366372617,106.6716857,10.7488469
366372618,106.7446985,10.8588778
366372621,106.6190184,10.680265
366372629,106.6436545,10.837935
366372653,106.7474904,10.8805721
366372662,106.6137279,10.8829136
366372663,106.5726944,10.8181083
366372665,106.7293439,10.8501006
366372666,106.6088112,10.836786
366372671,106.6462637,10.8765313
366372686,106.6078238,10.8827767
366372689,106.8429015,10.8497249
366372692,106.603894,10.7653165
366372709,106.838938,10.8594837
366372756,106.8100207,10.877975
366372757,106.6713239,10.7625065
366372772,106.7598095,10.8684692
366372795,106.585699,10.8887747
366372807,106.7342152,10.7928563
366372818,106.6217767,10.7559915
366372820,106.7016871,10.7621921
366372847,106.7873905,10.8620335
366372851,106.6732641,10.8420576
366372854,106.7374245,10.7060189
366372862,106.7681372,10.7838245
366372874,106.62682,10.7247465
366372877,106.6237889,10.7959072
366372879,106.7753281,10.878948
366372898,106.7430358,10.7731262
366372910,106.5916063,10.7219134
366372964,106.810325,10.8177195
366372968,106.742183,10.6889968
366372974,106.5635838,10.8657132
366372976,106.5985853,10.7508666
366372982,106.8240911,10.8841288
366372992,106.7914776,10.8632066
366373000,106.61845,10.8807304
366373001,106.6024758,10.8777835
366373003,106.7437154,10.8330674
366373008,106.775454,10.820013
366373009,106.7868703,10.849893
366373024,106.7885125,10.8711848
366373030,106.663901,10.7438037
366373044,106.7432794,10.8731856
366373055,106.7811836,10.8797529
366373068,106.6781403,10.8418828
366373072,106.7751613,10.7826796
366373088,106.7208185,10.8829284
366373102,106.6099872,10.8484098
366373106,106.5721806,10.8181056
366373152,106.6794096,10.8150014
366373179,106.5461768,10.7720891
366373217,106.6310051,10.7455198
366373229,106.8388371,10.8144061
366373264,106.7260622,10.8199997
366373266,106.6614109,10.7453643
366373273,106.7326125,10.7503441
366373285,106.7422411,10.7381242
366373311,106.5845023,10.8832365
366373335,106.7506191,10.8461068
366373340,106.8284384,10.8852508
366373342,106.6810467,10.8087619
366373362,106.6875652,10.7985705
366373365,106.7713195,10.8190904
366373369,106.7496694,10.86486
366373446,106.7801432,10.877556
366373451,106.6763064,10.7668248
366373457,106.5814081,10.7301517
366373517,106.7673177,10.8817025
366373553,106.7298493,10.8521891
366373568,106.6615239,10.8072972
366373616,106.6332514,10.7299692
366373622,106.6733949,10.8340474
366373630,106.6238907,10.7882178
366373639,106.8018107,10.8472499
366373643,106.6080202,10.8868288
366373652,106.7785904,10.7773378
366373656,106.6465703,10.7839027
366373660,106.6301896,10.7428844
366373663,106.5982783,10.8409407
366373684,106.730999,10.7954565
366373686,106.7785983,10.8430199
366373698,106.7340094,10.8668788
366373701,106.6510511,10.8563549
366373710,106.7222795,10.7611108
366373722,106.5635913,10.8555839
366373742,106.6283836,10.7929889
366373775,106.6167486,10.7940368
366373778,106.5992417,10.8373055
366373783,106.7184122,10.8191848
366373814,106.6752448,10.8237382
366373816,106.7032127,10.835077
366373832,106.642121,10.8367271
366373849,106.6277559,10.8414432
366373880,106.6436157,10.8357226
366373884,106.6287965,10.7164166
366373886,106.7368341,10.7609877
366373897,106.6859865,10.8089685
