_id,segment_id,date,weekday,period,LOS,s_node_id,e_node_id,length,street_id,max_velocity,street_level,street_name,street_type,long_snode,lat_snode,long_enode,lat_enode
27708,63345,2020-08-02,6,period_23_30,C,4632009841,2302073743,10,468724778,,2,3 Tháng 2,primary,106.6599493,10.7637744,106.6600323,10.7638205
27709,63345,2020-08-03,0,period_0_00,C,4632009841,2302073743,10,468724778,,2,3 Tháng 2,primary,106.6599493,10.7637744,106.6600323,10.7638205
27710,63346,2020-08-02,6,period_23_30,C,2302073743,5051610933,37,468724778,,2,3 Tháng 2,primary,106.6600323,10.7638205,106.6603306,10.7639789
27711,63346,2020-08-03,0,period_0_00,E,2302073743,5051610933,37,468724778,,2,3 Tháng 2,primary,106.6600323,10.7638205,106.6603306,10.7639789
27712,63346,2020-12-18,4,period_7_30,B,2302073743,5051610933,37,468724778,,2,3 Tháng 2,primary,106.6600323,10.7638205,106.6603306,10.7639789
27713,63347,2020-08-02,6,period_23_30,E,5051610933,5051610931,29,468724778,,2,3 Tháng 2,primary,106.6603306,10.7639789,106.6605677,10.7641047
27714,63347,2020-08-03,0,period_0_00,E,5051610933,5051610931,29,468724778,,2,3 Tháng 2,primary,106.6603306,10.7639789,106.6605677,10.7641047
27715,63348,2020-08-02,6,period_23_30,D,5051610931,2302074154,34,468724778,,2,3 Tháng 2,primary,106.6605677,10.7641047,106.6608466,10.7642528
27716,63348,2020-08-03,0,period_0_00,D,5051610931,2302074154,34,468724778,,2,3 Tháng 2,primary,106.6605677,10.7641047,106.6608466,10.7642528
27717,63349,2020-08-02,6,period_23_30,D,2302074154,5285636173,13,468724778,,2,3 Tháng 2,primary,106.6608466,10.7642528,106.6609546,10.7643104
27718,63349,2020-08-03,0,period_0_00,D,2302074154,5285636173,13,468724778,,2,3 Tháng 2,primary,106.6608466,10.7642528,106.6609546,10.7643104
27719,63350,2020-08-02,6,period_23_30,A,5285636173,5051610929,13,468724778,,2,3 Tháng 2,primary,106.6609546,10.7643104,106.6610625,10.764368
27720,63350,2020-08-03,0,period_0_00,D,5285636173,5051610929,13,468724778,,2,3 Tháng 2,primary,106.6609546,10.7643104,106.6610625,10.764368
27721,63351,2020-08-02,6,period_23_30,C,5051610929,5051610927,22,468724778,,2,3 Tháng 2,primary,106.6610625,10.764368,106.6612412,10.7644634
27722,63351,2020-08-03,0,period_0_00,D,5051610929,5051610927,22,468724778,,2,3 Tháng 2,primary,106.6610625,10.764368,106.6612412,10.7644634
27723,63352,2020-08-02,6,period_23_30,C,5051610927,3150623838,9,468724778,,2,3 Tháng 2,primary,106.6612412,10.7644634,106.6613192,10.764505
27724,63352,2020-08-03,0,period_0_00,C,5051610927,3150623838,9,468724778,,2,3 Tháng 2,primary,106.6612412,10.7644634,106.6613192,10.764505
